DebayerTime,fMapTime,iMapTime
1148,5055,4562
1245,5359,4522
1119,4678,4381
1165,4726,4726
1188,5254,4527
1162,4698,4431
1273,4893,4597
1283,5337,4539
1362,4852,4387
1143,4736,4382
1253,4909,4802
1255,5311,4533
1134,4880,4462
1256,4770,4670
1269,5056,5784
1332,4833,4438
1184,4793,4370
1206,4667,4740
1182,5296,4567
1213,4758,4420
1171,4706,4831
1144,4782,4849
1187,5173,4467
1216,4915,4562
1229,4739,4715
1279,5159,4521
1225,4856,4607
1155,4686,4406
1196,5219,4663
1366,4795,4576
1137,4776,4414
1154,4665,5025
1194,5336,4695
1167,4867,4467
1234,4853,4806
1186,5263,4690
1260,4872,4538
1169,4697,4845
1230,5247,5006
1400,4833,4976
1215,4868,4656
1246,4796,4974
1187,5327,4507
1195,4674,4457
1186,4709,4647
1193,5382,4563
1390,4810,4455
1274,4741,4373
1177,4818,4928
1186,5396,4523
1162,4693,4370
1170,4839,4714
1232,5047,4489
1293,4805,4465
1245,4893,4603
1219,4706,4573
1153,5158,4465
1061,4780,4499
1240,4711,4459
1142,4954,4621
1317,5068,4704
1143,4797,4426
1156,4685,4454
1172,5082,4475
1294,4847,4452
1298,4847,4557
1119,4727,5063
1173,5280,4504
1269,4916,4550
1123,4682,4705
1121,5293,4539
1167,4668,4402
1262,4859,4578
1188,5078,4810
1262,5119,4505
1204,4889,4555
1244,4959,4783
1189,5378,4534
1189,4713,4398
1155,4715,4675
1231,5324,4536
1272,4852,4479
1223,4808,4590
1251,4881,4747
1238,5246,4449
1265,4861,4625
1203,4823,4821
1222,5348,4564
1189,4827,4786
1240,4676,4798
1167,5253,5031
1341,4841,4992
1229,4716,4376
1197,4675,4673
1237,5171,4502
1226,4681,4384
1190,4758,4679
1180,5222,4534
1289,4851,4465
1185,4662,4363
1216,4830,4955
1149,5327,4539
1151,4720,4364
1131,4742,4668
1208,5357,4529
1412,4823,4419
1228,5262,4483
1285,4873,5031
1146,5337,4674
1167,4943,4536
1259,4751,4699
1155,5274,4500
1191,4691,4446
1187,4741,4723
1210,5204,4553
1333,4856,4504
1251,4817,4367
1206,4793,4739
1170,5350,4515
1233,4655,4402
1283,4881,4590
1230,5004,4789
1316,5135,4495
1201,4702,4392
1178,4903,4738
1242,5256,4531
1101,4715,4455
1227,4859,4508
1210,4715,5062
1115,5309,4720
1133,4702,4425
1241,4712,4753
1202,5289,4641
1159,4755,4510
1243,4725,4485
1187,5307,4688
1385,4825,4643
1149,4706,4427
1215,4792,4730
1185,5320,4703
1153,4791,4436
1186,4668,4432
1169,4816,5052
1282,5376,4703
1261,4795,4449
